I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
nan,nan,nan,nan,nan,nan,-1.699085998535156250e+02,2.848137512207031250e+02,4.270210571289062500e+02,nan,nan,nan
nan,nan,nan,nan,nan,nan,-1.665444488525390625e+02,2.872581787109375000e+02,4.285993347167968750e+02,nan,nan,nan
nan,nan,nan,nan,nan,nan,-1.631802978515625000e+02,2.897026367187500000e+02,4.301775817871093750e+02,nan,nan,nan
nan,nan,nan,nan,nan,nan,-1.598161468505859375e+02,2.921470642089843750e+02,4.317558593750000000e+02,nan,nan,nan
nan,nan,nan,nan,nan,nan,-1.561701812744140625e+02,2.960466918945312500e+02,4.325006408691406250e+02,nan,nan,nan
nan,nan,nan,nan,nan,nan,-1.524235992431640625e+02,3.004657287597656250e+02,4.329479675292968750e+02,nan,nan,nan
nan,nan,nan,nan,nan,nan,-1.486770324707031250e+02,3.048847961425781250e+02,4.333952636718750000e+02,nan,nan,nan
nan,nan,nan,nan,nan,nan,-1.460252532958984375e+02,3.094002075195312500e+02,4.344483947753906250e+02,nan,nan,nan
nan,nan,nan,nan,nan,nan,-1.445888977050781250e+02,3.140226440429687500e+02,4.361740722656250000e+02,nan,nan,nan
nan,nan,nan,nan,nan,nan,-1.431525573730468750e+02,3.186450805664062500e+02,4.378997802734375000e+02,nan,nan,nan
nan,nan,nan,nan,nan,nan,-1.419986572265625000e+02,3.232277221679687500e+02,4.399462585449218750e+02,nan,nan,nan
nan,nan,nan,nan,nan,nan,-1.419019622802734375e+02,3.276614379882812500e+02,4.431933593750000000e+02,nan,nan,nan
nan,nan,nan,nan,nan,nan,-1.418052520751953125e+02,3.320951538085937500e+02,4.464404602050781250e+02,nan,nan,nan
nan,nan,nan,nan,nan,nan,-1.417085571289062500e+02,3.365288391113281250e+02,4.496875610351562500e+02,nan,nan,nan
nan,nan,nan,nan,nan,nan,-1.436003570556640625e+02,3.383305969238281250e+02,4.523557739257812500e+02,nan,nan,nan
nan,nan,nan,nan,nan,nan,-1.456017303466796875e+02,3.399873352050781250e+02,4.549921264648437500e+02,nan,nan,nan
