I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-2.994509124755859375e+01,1.950935935974121094e+01,-2.989336204528808594e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
-2.959906578063964844e+01,2.089225578308105469e+01,-2.849481391906738281e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
-2.925304222106933594e+01,2.227515029907226562e+01,-2.709626579284667969e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
-2.890701675415039062e+01,2.365804672241210938e+01,-2.569771766662597656e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
-2.856099128723144531e+01,2.504094314575195312e+01,-2.429916954040527344e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
-2.821496772766113281e+01,2.642383766174316406e+01,-2.290062141418457031e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
-2.622200965881347656e+01,3.010705757141113281e+01,-2.030622482299804688e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
-2.296777343750000000e+01,3.555194473266601562e+01,-1.679600715637207031e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1.971353530883789062e+01,4.099682998657226562e+01,-1.328578853607177734e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1.645929908752441406e+01,4.644171524047851562e+01,-9.775569915771484375e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1.320506286621093750e+01,5.188660430908203125e+01,-6.265351772308349609e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan
-9.804072380065917969e+00,5.740018844604492188e+01,-2.468680858612060547e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan
-5.443165302276611328e+00,6.336313629150390625e+01,3.201671600341796875e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan
-1.082258939743041992e+00,6.932608032226562500e+01,8.872024536132812500e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan
3.278647661209106445e+00,7.528902435302734375e+01,1.454237651824951172e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
7.639554023742675781e+00,8.125197601318359375e+01,2.021272850036621094e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.200046062469482422e+01,8.721492004394531250e+01,2.588308143615722656e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.444425678253173828e+01,8.817714691162109375e+01,3.109184265136718750e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.606217575073242188e+01,8.698509979248046875e+01,3.610175323486328125e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.768009376525878906e+01,8.579305267333984375e+01,4.111166000366210938e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.929801177978515625e+01,8.460100555419921875e+01,4.612157058715820312e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.091592979431152344e+01,8.340895080566406250e+01,5.113148117065429688e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.099067306518554688e+01,8.024487304687500000e+01,5.401299667358398438e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.679006004333496094e+01,7.161727905273437500e+01,5.099780654907226562e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
